FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
11/8/22,COLOMBIA,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
11/4/22,COLOMBIA,CALDAS,MANIZALES (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
6/26/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
6/15/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,DINAMARCA,FEMENINO,URBANA,DINAMARCA
5/17/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
5/4/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
4/12/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2/24/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,URBANA,VENEZUELA
1/25/22,COLOMBIA,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,AUSTRALIA,MASCULINO,URBANA,AUSTRALIA
1/24/22,COLOMBIA,SUCRE,OVEJAS,ARTÍCULO 239. HURTO PERSONAS,FRANCIA,FEMENINO,URBANA,FRANCIA
1/10/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
1/7/22,COLOMBIA,MAGDALENA,SANTA MARTA (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
1/5/22,COLOMBIA,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
11/24/22,COLOMBIA,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
11/11/22,COLOMBIA,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
11/11/22,COLOMBIA,SUCRE,SANTIAGO DE TOLÚ,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
10/30/22,COLOMBIA,HUILA,SAN AGUSTÍN,ARTÍCULO 239. HURTO PERSONAS,PERU,FEMENINO,RURAL,PERU
10/24/22,COLOMBIA,CÓRDOBA,PLANETA RICA,ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
10/24/22,COLOMBIA,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
10/19/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
10/16/22,COLOMBIA,CALDAS,MANIZALES (CT),ARTÍCULO 239. HURTO PERSONAS,ESPAÑA,MASCULINO,URBANA,ESPAÑA
10/12/22,COLOMBIA,AMAZONAS,LETICIA (CT),ARTÍCULO 239. HURTO PERSONAS,NORUEGA,FEMENINO,URBANA,NORUEGA
10/10/22,COLOMBIA,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
10/9/22,COLOMBIA,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
10/8/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
10/6/22,COLOMBIA,VALLE,CALI (CT),ARTÍCULO 239. HURTO PERSONAS,ISRAEL,MASCULINO,URBANA,ISRAEL
10/2/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
9/26/22,COLOMBIA,BOLÍVAR,CARTAGENA (CT),ARTÍCULO 239. HURTO PERSONAS,NO REGISTRA,MASCULINO,URBANA,NO REGISTRA
